Graph Type,Maze Size,Function,Average Time
mt,5x5,updateWall,"[1.0911610734183342e-05, 8.823700773064047e-06, 7.127850840333849e-06, 6.134519935585558e-06, 5.102508584968745e-06, 2.297419123351574e-06, 1.2866701581515372e-06, 3.0757600325159728e-06, 4.776740970555693e-06, 5.534170486498624e-06, 7.349452062044293e-06, 8.415811171289534e-06, 9.405811142642052e-06, 1.1369479179847986e-05, 1.2809609761461616e-05, 1.377696928102523e-05, 1.3022070052102208e-05, 1.130242133513093e-05, 8.629930671304464e-06, 4.362031759228557e-06, 2.6471211458556354e-06, 5.358300404623151e-07, 1.4890797319822013e-06, 9.902428719215095e-06]"
mt,5x5,neighbours,"[7.577058568131179e-06, 5.783279484603554e-06, 5.472000921145081e-06, 4.096181655768305e-06, 4.466228419914842e-06, 2.980371646117419e-06, 1.6245493316091596e-06, 2.0403286907821895e-06, 3.3879291731864214e-06, 3.887460043188184e-06, 4.16168972151354e-06, 5.61372929951176e-06, 5.2419886924326416e-06, 6.574889703188091e-06, 6.966738728806377e-06, 8.299600158352406e-06, 7.936220208648593e-06, 7.548377907369286e-06, 6.1883215676061805e-06, 4.833181155845523e-06, 4.846218798775226e-06, 6.1569709214381875e-06, 7.532509625889361e-06, 7.904990925453603e-06, 8.251639665104449e-06, 6.909101794008165e-06, 6.554589199367911e-06, 5.0041190115734935e-06, 5.360008799470961e-06, 3.993280115537345e-06, 2.654540876392275e-06, 2.2958801127970218e-06, 2.2837103460915387e-06, 2.6220304425805807e-06, 3.6062003346160056e-06, 3.228259738534689e-06, 1.9099091878160833e-06, 1.5500295558013022e-06, 1.2408202746883035e-06, 2.5612898753024638e-06, 2.5474795256741344e-06, 1.2024806346744298e-06, 2.848251024261117e-06, 4.984910774510354e-06, 4.112000460736454e-06, 5.447049916256219e-06]"
mt,10x10,updateWall,"[3.2499950320925565e-05, 2.9830440180376172e-05, 5.495251971296966e-05, 3.056906076380983e-05, 3.267536114435643e-05, 3.646454977570101e-05, 3.891327971359715e-05, 4.1993749618995935e-05, 4.4288669887464496e-05, 4.7352050896734e-05, 5.280076118651778e-05, 5.299860000377521e-05, 5.1340729114599526e-05, 4.8903721326496454e-05, 4.717831179732457e-05, 4.42057492909953e-05, 4.127494874410331e-05, 3.98899195715785e-05, 3.7634969339706e-05, 3.2447922567371276e-05, 2.9493698093574494e-05, 3.176536003593355e-05, 3.704121161717922e-05, 4.2017478845082226e-05, 4.71148791257292e-05, 5.018704890972004e-05, 4.797031899215654e-05, 4.580414039082825e-05, 4.8964930174406616e-05, 5.057371978182346e-05, 4.636955098249018e-05, 4.089288937393576e-05, 3.8966250140219924e-05, 3.8274579274002463e-05, 3.95053590182215e-05, 4.390206973766908e-05, 4.584410024108365e-05, 4.750241176225245e-05, 4.683628969360143e-05, 4.4119160156697036e-05, 3.9499540580436584e-05, 3.432829980738461e-05, 3.181910142302513e-05, 3.33132897503674e-05, 3.0384511046577244e-05, 2.7920810098294168e-05, 2.6913780893664806e-05, 2.258249995065853e-05, 2.050869050435722e-05, 1.5108301013242454e-05, 1.262246078113094e-05, 1.622177107492462e-05, 1.8633709114510566e-05, 1.9050788541790098e-05, 1.73278697184287e-05, 1.404868031386286e-05, 1.1004921689163893e-05, 8.773740555625409e-06, 6.217449263203889e-06, 4.075010947417468e-06, 6.880021246615798e-06, 9.856200776994228e-06, 1.1228748480789363e-05, 1.1701639741659165e-05, 9.092109685298056e-06, 5.9382405015639965e-06, 5.237440636847168e-06, 1.4345379604492336e-05, 1.6954050806816667e-05, 1.9917019526474177e-05, 2.122241974575445e-05, 1.802291051717475e-05, 1.6089529381133617e-05, 1.7496251093689352e-05, 2.3422441736329346e-05, 2.474794047884643e-05, 2.438749943394214e-05, 2.1693239687010647e-05, 2.4767509603407235e-05, 3.254571638535708e-06, 2.7541603776626288e-06, 5.088189500384032e-06, 7.49994011130184e-06, 4.307879717089236e-06, 1.2469390640035272e-06, 3.4137212787754836e-06, 8.696190197952092e-06, 1.1367410770617426e-05, 1.4612860686611384e-05, 1.600955962203443e-05, 1.8964500923175366e-05, 2.2154520265758038e-05, 2.333316922886297e-05, 2.7333248872309924e-05, 7.956628978718072e-06, 2.7406984008848665e-06, 3.0382969416677952e-05, 3.526236687321216e-05, 3.590745065594092e-05]"
mt,10x10,neighbours,"[1.9573741010390222e-05, 1.9548689597286284e-05, 3.5471689770929515e-05, 1.707698043901473e-05, 1.9614110060501842e-05, 1.957121945451945e-05, 2.2781591687817127e-05, 2.2387861099559815e-05, 2.514909952878952e-05, 2.556239953264594e-05, 2.823582966811955e-05, 2.9648308409377932e-05, 2.880995103623718e-05, 2.8624170809052885e-05, 2.6459518412593752e-05, 2.6831648428924383e-05, 2.6783699286170304e-05, 2.641619212226942e-05, 2.3879942891653626e-05, 2.3563301365356892e-05, 2.3013219761196523e-05, 2.0652519597206266e-05, 1.7894139455165713e-05, 1.7705859208945183e-05, 2.0115299557801338e-05, 2.2706210147589443e-05, 2.5296708627138288e-05, 2.7953381068073213e-05, 2.8327000327408312e-05, 2.6442408561706543e-05, 2.604087843792513e-05, 2.8775019163731486e-05, 2.8895058494526894e-05, 2.638660924276337e-05, 2.5351960503030568e-05, 2.8402010211721063e-05, 2.7956130215898155e-05, 2.8288320754654707e-05, 2.517875895136967e-05, 2.296160935657099e-05, 2.3374890442937612e-05, 2.1288220596034078e-05, 2.4386261648032813e-05, 2.5578269851394e-05, 2.815164189087227e-05, 2.8144110110588372e-05, 2.6837409532163292e-05, 2.4121220340020953e-05, 2.123956975992769e-05, 1.8781290273182093e-05, 1.9242858397774397e-05, 2.024247049121186e-05, 1.730051008053124e-05, 1.7316168814431877e-05, 1.4851208252366632e-05, 1.4439968799706548e-05, 1.1925800063181668e-05, 9.750810277182608e-06, 1.0012470884248614e-05, 1.2186600652057677e-05, 1.2224971724208445e-05, 1.3200370012782514e-05, 1.032492087688297e-05, 9.805708832573146e-06, 7.304550090339035e-06, 7.923731463961304e-06, 4.715382237918675e-06, 5.2428909111768e-06, 7.917858893051743e-06, 8.066660375334323e-06, 8.459500095341355e-06, 8.747412939555943e-06, 6.508751830551774e-06, 5.728770338464528e-06, 5.402390379458666e-06, 5.3649701294489205e-06, 5.750769632868469e-06, 6.221130606718362e-06, 9.068389772437513e-06, 1.1405759141780437e-05, 1.1657058203127234e-05, 1.4356670726556331e-05, 1.384913019137457e-05, 1.1122140858788043e-05, 1.0389909148216247e-05, 1.316410955041647e-05, 1.6037890745792537e-05, 1.53570796828717e-05, 1.5537441649939866e-05, 1.4824099198449403e-05, 1.5206961252260954e-05, 1.5493790560867636e-05, 1.3579979131463916e-05, 1.0874109575524926e-05, 1.0790831001941115e-05, 1.3247870665509254e-05, 1.352919964119792e-05, 1.4464880514424295e-05, 1.6450858674943446e-05, 1.6396688879467545e-05, 1.3866288936696947e-05, 1.1353680456522852e-05, 1.1477059742901475e-05, 8.878258522599936e-06, 8.018360531423241e-06, 7.63707997975871e-06, 5.084938311483711e-06, 4.710399080067873e-06, 4.471259599085897e-06, 4.075861070305109e-06, 7.023670186754316e-06, 6.698249781038612e-06, 3.7024595076218246e-06, 3.3391715260222554e-06, 5.921611445955932e-06, 8.804489334579558e-06, 8.461188117507846e-06, 1.1068290332332253e-05, 1.1159431014675647e-05, 1.4550329360645265e-05, 1.3351180823519826e-05, 1.6451569681521505e-05, 1.6264969308394938e-05, 1.6266170132439583e-05, 1.5907059132587165e-05, 1.414578000549227e-05, 1.413955120369792e-05, 1.1175030085723847e-05, 1.0793750698212535e-05, 8.194640395231545e-06, 5.627080099657178e-06, 3.0099519062787295e-06, 3.1087998650036753e-06, 6.0816379846073684e-06, 8.861199603416026e-06, 6.236588524188846e-06, 3.3008787431754172e-06, 3.669959551189095e-06, 6.454111426137387e-06, 6.661628722213209e-06, 4.01491008233279e-06, 4.4861921924166385e-06, 7.36950954888016e-06, 6.967939843889326e-06, 9.632840810809285e-06, 1.0495329624973238e-05, 1.346120028756559e-05, 1.2269070430193096e-05, 1.1874900083057583e-05, 9.256621124222875e-06, 8.903770358301698e-06, 1.1386159749235957e-05, 1.4534558868035675e-05, 1.4770079287700355e-05, 1.726946095004678e-05, 2.0305501238908618e-05, 1.9780027505476026e-05, 1.6647861048113555e-05, 1.9145449332427234e-05, 1.9083749502897263e-05, 1.9096620671916753e-05, 2.1232459985185415e-05, 2.3822039947845043e-05, 2.6708710356615485e-05, 2.6744460046757013e-05, 2.6687018980737775e-05, 2.4948290083557367e-05, 2.410828950814903e-05, 2.1479990100488066e-05, 2.1660360216628762e-05, 2.2474880097433925e-05, 2.4994178384076805e-05, 2.72728901472874e-05, 2.5426949432585387e-05, 2.285835100337863e-05, 1.97833392303437e-05, 1.721950917271897e-05, 1.8045020988211034e-05, 2.0598700502887367e-05, 2.107541018631309e-05]"
